Code,UTLA,NHSRegion,Region,Timestamp,Confirmed
E06000057,Northumberland,North East,North East,2020-03-13T23:59:00+00:00,0
E06000018,Nottingham,East Midlands,East Midlands,2020-03-13T23:59:00+00:00,5
E10000024,Nottinghamshire,East Midlands,East Midlands,2020-03-13T23:59:00+00:00,6
E08000004,Oldham,North West,North West,2020-03-13T23:59:00+00:00,6
E10000025,Oxfordshire,South East,South East,2020-03-13T23:59:00+00:00,22
E06000031,Peterborough,East of England,East of England,2020-03-13T23:59:00+00:00,1
E06000026,Plymouth,South West,South West,2020-03-13T23:59:00+00:00,1
E06000044,Portsmouth,South East,South East,2020-03-13T23:59:00+00:00,0
E06000038,Reading,South East,South East,2020-03-13T23:59:00+00:00,3
E09000026,Redbridge,London,London,2020-03-13T23:59:00+00:00,1
E06000003,Redcar and Cleveland,North East,North East,2020-03-13T23:59:00+00:00,0
E09000027,Richmond upon Thames,London,London,2020-03-13T23:59:00+00:00,1
E08000005,Rochdale,North West,North West,2020-03-13T23:59:00+00:00,2
E08000018,Rotherham,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,1
E06000017,Rutland,East Midlands,East Midlands,2020-03-13T23:59:00+00:00,0
E08000006,Salford,North West,North West,2020-03-13T23:59:00+00:00,0
E08000028,Sandwell,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,0
E08000014,Sefton,North West,North West,2020-03-13T23:59:00+00:00,1
E08000019,Sheffield,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,3
E06000051,Shropshire,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,3
E06000039,Slough,South East,South East,2020-03-13T23:59:00+00:00,2
E08000029,Solihull,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,0
E10000027,Somerset,South West,South West,2020-03-13T23:59:00+00:00,1
E06000025,South Gloucestershire,South West,South West,2020-03-13T23:59:00+00:00,1
E08000023,South Tyneside,North East,North East,2020-03-13T23:59:00+00:00,0
E06000045,Southampton,South East,South East,2020-03-13T23:59:00+00:00,0
E06000033,Southend-on-Sea,East of England,East of England,2020-03-13T23:59:00+00:00,2
E09000028,Southwark,London,London,2020-03-13T23:59:00+00:00,13
E08000013,St. Helens,North West,North West,2020-03-13T23:59:00+00:00,0
E10000028,Staffordshire,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,4
E08000007,Stockport,North West,North West,2020-03-13T23:59:00+00:00,2
E06000004,Stockton-on-Tees,North East,North East,2020-03-13T23:59:00+00:00,2
E06000021,Stoke-on-Trent,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,0
E10000029,Suffolk,East of England,East of England,2020-03-13T23:59:00+00:00,1
E08000024,Sunderland,North East,North East,2020-03-13T23:59:00+00:00,1
E10000030,Surrey,South East,South East,2020-03-13T23:59:00+00:00,16
E09000029,Sutton,London,London,2020-03-13T23:59:00+00:00,6
E06000030,Swindon,South West,South West,2020-03-13T23:59:00+00:00,2
E08000008,Tameside,North West,North West,2020-03-13T23:59:00+00:00,1
E06000020,Telford and Wrekin,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,0
E06000034,Thurrock,East of England,East of England,2020-03-13T23:59:00+00:00,0
E06000027,Torbay,South West,South West,2020-03-13T23:59:00+00:00,7
E09000030,Tower Hamlets,London,London,2020-03-13T23:59:00+00:00,6
E08000009,Trafford,North West,North West,2020-03-13T23:59:00+00:00,5
E08000036,Wakefield,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,0
E08000030,Walsall,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,1
E09000031,Waltham Forest,London,London,2020-03-13T23:59:00+00:00,1
E09000032,Wandsworth,London,London,2020-03-13T23:59:00+00:00,7
E06000007,Warrington,North West,North West,2020-03-13T23:59:00+00:00,1
E10000031,Warwickshire,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,4
E06000037,West Berkshire,South East,South East,2020-03-13T23:59:00+00:00,1
E10000032,West Sussex,South East,South East,2020-03-13T23:59:00+00:00,4
E09000033,Westminster,London,London,2020-03-13T23:59:00+00:00,13
E08000010,Wigan,North West,North West,2020-03-13T23:59:00+00:00,3
E06000054,Wiltshire,South West,South West,2020-03-13T23:59:00+00:00,4
E06000040,Windsor and Maidenhead,South East,South East,2020-03-13T23:59:00+00:00,4
E08000015,Wirral,North West,North West,2020-03-13T23:59:00+00:00,5
E06000041,Wokingham,South East,South East,2020-03-13T23:59:00+00:00,4
E08000031,Wolverhampton,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,8
E10000034,Worcestershire,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,2
E06000014,York,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,4
