Landkreis,Regierungsbezirk,Timestamp,Confirmed
Kronach,Oberfranken,2020-03-16T12:00:00+01:00,2
Kulmbach,Oberfranken,2020-03-16T12:00:00+01:00,1
Landsberg am Lech,Oberbayern,2020-03-16T12:00:00+01:00,5
Landshut,Niederbayern,2020-03-16T12:00:00+01:00,8
Landshut Stadt,Niederbayern,2020-03-16T12:00:00+01:00,4
Lichtenfels,Oberfranken,2020-03-16T12:00:00+01:00,1
Lindau (Bodensee),Schwaben,2020-03-16T12:00:00+01:00,19
Main-Spessart,Unterfranken,2020-03-16T12:00:00+01:00,5
Memmingen Stadt,Schwaben,2020-03-16T12:00:00+01:00,1
Miesbach,Oberbayern,2020-03-16T12:00:00+01:00,15
Miltenberg,Unterfranken,2020-03-16T12:00:00+01:00,4
München,Oberbayern,2020-03-16T12:00:00+01:00,66
München Stadt,Oberbayern,2020-03-16T12:00:00+01:00,187
Neu-Ulm,Schwaben,2020-03-16T12:00:00+01:00,10
Neumarkt in der Oberpfalz,Oberpfalz,2020-03-16T12:00:00+01:00,5
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2020-03-16T12:00:00+01:00,4
Neustadt an der Waldnaab,Oberpfalz,2020-03-16T12:00:00+01:00,1
Nürnberg Stadt,Mittelfranken,2020-03-16T12:00:00+01:00,24
Nürnberger Land,Mittelfranken,2020-03-16T12:00:00+01:00,6
Oberallgäu,Schwaben,2020-03-16T12:00:00+01:00,27
Ostallgäu,Schwaben,2020-03-16T12:00:00+01:00,10
Passau,Niederbayern,2020-03-16T12:00:00+01:00,15
Passau Stadt,Niederbayern,2020-03-16T12:00:00+01:00,3
Pfaffenhofen an der Ilm,Oberbayern,2020-03-16T12:00:00+01:00,10
Regen,Niederbayern,2020-03-16T12:00:00+01:00,15
Regensburg,Oberpfalz,2020-03-16T12:00:00+01:00,8
Regensburg Stadt,Oberpfalz,2020-03-16T12:00:00+01:00,6
Rosenheim,Oberbayern,2020-03-16T12:00:00+01:00,27
Rosenheim Stadt,Oberbayern,2020-03-16T12:00:00+01:00,1
Roth,Mittelfranken,2020-03-16T12:00:00+01:00,5
Rottal-Inn,Niederbayern,2020-03-16T12:00:00+01:00,14
Schwabach Stadt,Mittelfranken,2020-03-16T12:00:00+01:00,2
Schwandorf,Oberpfalz,2020-03-16T12:00:00+01:00,12
Schweinfurt,Unterfranken,2020-03-16T12:00:00+01:00,5
Starnberg,Oberbayern,2020-03-16T12:00:00+01:00,44
Straubing Stadt,Niederbayern,2020-03-16T12:00:00+01:00,6
Straubing-Bogen,Niederbayern,2020-03-16T12:00:00+01:00,3
Tirschenreuth,Oberpfalz,2020-03-16T12:00:00+01:00,17
Traunstein,Oberbayern,2020-03-16T12:00:00+01:00,13
Unterallgäu,Schwaben,2020-03-16T12:00:00+01:00,16
Weiden in der Oberpfalz Stadt,Oberpfalz,2020-03-16T12:00:00+01:00,6
Weilheim-Schongau,Oberbayern,2020-03-16T12:00:00+01:00,17
Weißenburg-Gunzenhausen,Mittelfranken,2020-03-16T12:00:00+01:00,2
Wunsiedel im Fichtelgebirge,Oberfranken,2020-03-16T12:00:00+01:00,2
Würzburg,Unterfranken,2020-03-16T12:00:00+01:00,36
Würzburg Stadt,Unterfranken,2020-03-16T12:00:00+01:00,30
