Landkreis,Regierungsbezirk,Timestamp,Confirmed
Kaufbeuren Stadt,Schwaben,2020-03-23T10:00:00+01:00,6
Kelheim,Niederbayern,2020-03-23T10:00:00+01:00,48
Kitzingen,Unterfranken,2020-03-23T10:00:00+01:00,14
Kronach,Oberfranken,2020-03-23T10:00:00+01:00,16
Kulmbach,Oberfranken,2020-03-23T10:00:00+01:00,21
Landsberg am Lech,Oberbayern,2020-03-23T10:00:00+01:00,48
Landshut,Niederbayern,2020-03-23T10:00:00+01:00,109
Landshut Stadt,Niederbayern,2020-03-23T10:00:00+01:00,38
Lichtenfels,Oberfranken,2020-03-23T10:00:00+01:00,21
Lindau (Bodensee),Schwaben,2020-03-23T10:00:00+01:00,51
Main-Spessart,Unterfranken,2020-03-23T10:00:00+01:00,15
Memmingen Stadt,Schwaben,2020-03-23T10:00:00+01:00,15
Miesbach,Oberbayern,2020-03-23T10:00:00+01:00,136
Miltenberg,Unterfranken,2020-03-23T10:00:00+01:00,47
Mühldorf am Inn,Oberbayern,2020-03-23T10:00:00+01:00,38
München,Oberbayern,2020-03-23T10:00:00+01:00,266
München Stadt,Oberbayern,2020-03-23T10:00:00+01:00,1237
Neu-Ulm,Schwaben,2020-03-23T10:00:00+01:00,66
Neuburg-Schrobenhausen,Oberbayern,2020-03-23T10:00:00+01:00,28
Neumarkt in der Oberpfalz,Oberpfalz,2020-03-23T10:00:00+01:00,18
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2020-03-23T10:00:00+01:00,20
Neustadt an der Waldnaab,Oberpfalz,2020-03-23T10:00:00+01:00,30
Nürnberg Stadt,Mittelfranken,2020-03-23T10:00:00+01:00,87
Nürnberger Land,Mittelfranken,2020-03-23T10:00:00+01:00,60
Oberallgäu,Schwaben,2020-03-23T10:00:00+01:00,61
Ostallgäu,Schwaben,2020-03-23T10:00:00+01:00,40
Passau,Niederbayern,2020-03-23T10:00:00+01:00,36
Passau Stadt,Niederbayern,2020-03-23T10:00:00+01:00,15
Pfaffenhofen an der Ilm,Oberbayern,2020-03-23T10:00:00+01:00,32
Regen,Niederbayern,2020-03-23T10:00:00+01:00,25
Regensburg,Oberpfalz,2020-03-23T10:00:00+01:00,85
Regensburg Stadt,Oberpfalz,2020-03-23T10:00:00+01:00,90
Rhön-Grabfeld,Unterfranken,2020-03-23T10:00:00+01:00,16
Rosenheim,Oberbayern,2020-03-23T10:00:00+01:00,219
Rosenheim Stadt,Oberbayern,2020-03-23T10:00:00+01:00,48
Roth,Mittelfranken,2020-03-23T10:00:00+01:00,21
Rottal-Inn,Niederbayern,2020-03-23T10:00:00+01:00,79
Schwabach Stadt,Mittelfranken,2020-03-23T10:00:00+01:00,8
Schwandorf,Oberpfalz,2020-03-23T10:00:00+01:00,38
Schweinfurt,Unterfranken,2020-03-23T10:00:00+01:00,40
Schweinfurt Stadt,Unterfranken,2020-03-23T10:00:00+01:00,7
Starnberg,Oberbayern,2020-03-23T10:00:00+01:00,110
Straubing Stadt,Niederbayern,2020-03-23T10:00:00+01:00,40
Straubing-Bogen,Niederbayern,2020-03-23T10:00:00+01:00,46
Tirschenreuth,Oberpfalz,2020-03-23T10:00:00+01:00,148
Traunstein,Oberbayern,2020-03-23T10:00:00+01:00,64
Unterallgäu,Schwaben,2020-03-23T10:00:00+01:00,43
Weiden in der Oberpfalz Stadt,Oberpfalz,2020-03-23T10:00:00+01:00,20
Weilheim-Schongau,Oberbayern,2020-03-23T10:00:00+01:00,93
Weißenburg-Gunzenhausen,Mittelfranken,2020-03-23T10:00:00+01:00,24
Wunsiedel im Fichtelgebirge,Oberfranken,2020-03-23T10:00:00+01:00,53
Würzburg,Unterfranken,2020-03-23T10:00:00+01:00,135
Würzburg Stadt,Unterfranken,2020-03-23T10:00:00+01:00,88
