Landkreis,Regierungsbezirk,Timestamp,Confirmed
Regensburg Stadt,Oberpfalz,2020-03-20T10:00:00+01:00,64
Rhön-Grabfeld,Unterfranken,2020-03-20T10:00:00+01:00,8
Rosenheim,Oberbayern,2020-03-20T10:00:00+01:00,66
Rosenheim Stadt,Oberbayern,2020-03-20T10:00:00+01:00,1
Roth,Mittelfranken,2020-03-20T10:00:00+01:00,12
Rottal-Inn,Niederbayern,2020-03-20T10:00:00+01:00,51
Schwabach Stadt,Mittelfranken,2020-03-20T10:00:00+01:00,8
Schwandorf,Oberpfalz,2020-03-20T10:00:00+01:00,23
Schweinfurt,Unterfranken,2020-03-20T10:00:00+01:00,16
Schweinfurt Stadt,Unterfranken,2020-03-20T10:00:00+01:00,4
Starnberg,Oberbayern,2020-03-20T10:00:00+01:00,69
Straubing Stadt,Niederbayern,2020-03-20T10:00:00+01:00,19
Straubing-Bogen,Niederbayern,2020-03-20T10:00:00+01:00,20
Tirschenreuth,Oberpfalz,2020-03-20T10:00:00+01:00,60
Traunstein,Oberbayern,2020-03-20T10:00:00+01:00,34
Unterallgäu,Schwaben,2020-03-20T10:00:00+01:00,27
Weiden in der Oberpfalz Stadt,Oberpfalz,2020-03-20T10:00:00+01:00,7
Weilheim-Schongau,Oberbayern,2020-03-20T10:00:00+01:00,48
Weißenburg-Gunzenhausen,Mittelfranken,2020-03-20T10:00:00+01:00,8
Wunsiedel im Fichtelgebirge,Oberfranken,2020-03-20T10:00:00+01:00,16
Würzburg,Unterfranken,2020-03-20T10:00:00+01:00,74
Würzburg Stadt,Unterfranken,2020-03-20T10:00:00+01:00,55
